ARC,Archery,INV
ATH,Athletics,STA
BDM,Badminton,CPL
BK3,3x3 Basketball,LC
BKB,Basketball,BCY
BKG,Breaking,LC
BMX,Cycling BMX Racing,VE2
BOX,Boxing,RGA
CLB,Sport Climbing,LBO
CRD,Cycling Road,TRO
CSL,Canoe Slalom,VN
CSP,Canoe Sprint,VN
CTR,Cycling Track,VE1
EQU,Equestrian,VER
FBL,Football,BOR
FEN,Fencing,GRP
GAR,Artistic Gymnastics,BCY
HBL,Handball,SP
HOC,Hockey,YDM
JUD,Judo,CDM
MPN,Modern Pentathlon,NPA
ROW,Rowing,VN
RU7,Rugby Sevens,STA
SAL,Sailing,MAM
SHO,Shooting,CTX
SRF,Surfing,TAH
SWM,Swimming,DEF
TEN,Tennis,RGA
TKW,Taekwondo,GRP
TTE,Table Tennis,SP
VBV,Beach Volleyball,EIF
VVO,Volleyball,SP
WLF,Weightlifting,SP
WPO,Water Polo,AQC
WRE,Wrestling,CDM
